Image,z=0,z=1,z=2,z=3,z=4,z=5,z=6,z=7,z=8
2907.pgm,0,78,3346,4774,2306,520,2957,2403,0
2908.pgm,0,576,5463,5682,2243,410,1157,852,1
2909.pgm,0,83,2586,7813,4199,722,891,90,0
291.pgm,0,124,329,212,446,2076,10345,2846,6
2910.pgm,0,72,2776,8914,3259,461,854,48,0
2911.pgm,0,24,568,3809,4166,1520,4789,1508,0
2912.pgm,0,406,1609,1994,4756,3230,3475,745,169
2913.pgm,0,374,5821,7386,2736,67,0,0,0
2914.pgm,9,664,3764,3517,766,484,5600,1579,1
2915.pgm,32,1382,4465,4650,3817,1867,169,2,0
2916.pgm,42,1713,4988,5013,3134,1223,267,4,0
2917.pgm,2,81,773,1824,3038,5175,5306,185,0
2918.pgm,4,115,751,1499,2058,4249,7314,394,0
2919.pgm,13,762,3391,5147,4365,1991,673,42,0
292.pgm,0,17,171,646,2489,4225,5655,3177,4
2920.pgm,239,4543,4709,2136,1952,1904,855,46,0
2921.pgm,163,3935,4544,2711,1764,1794,1388,76,9
2922.pgm,0,674,3845,2962,916,1005,4992,1986,4
2923.pgm,2,827,4208,2734,901,985,4943,1767,17
2924.pgm,7,1126,4266,3206,2123,1104,3626,926,0
2925.pgm,0,84,706,3711,6414,2953,2263,253,0
2926.pgm,0,84,520,3353,6412,3179,2446,390,0
2927.pgm,1,160,792,4367,6913,2077,1816,258,0
2928.pgm,0,110,368,2137,8815,4833,121,0,0
2929.pgm,0,28,200,2771,9092,4011,239,43,0
293.pgm,0,30,469,2999,4167,2613,4065,2039,2
2930.pgm,1,75,295,1903,8146,5351,548,65,0
2931.pgm,0,41,255,2236,6581,6848,399,24,0
2932.pgm,5,777,2019,4894,3474,1730,1992,1300,193
2933.pgm,0,61,889,3325,2401,1918,6190,1600,0
2934.pgm,1,84,639,1913,1814,2685,6892,2356,0
2935.pgm,0,491,3232,4124,3441,2335,1682,1026,53
2936.pgm,0,474,3114,2393,6005,4082,261,51,4
2937.pgm,0,421,6037,6123,1010,241,1896,655,1
2938.pgm,248,4309,7290,3470,858,206,3,0,0
2939.pgm,105,2009,4375,4719,3559,1518,97,2,0
294.pgm,0,1,158,970,1941,2806,6099,4408,1
2940.pgm,29,407,1265,3012,3929,3000,2352,2389,1
2941.pgm,0,131,992,3236,4853,2481,3199,1492,0
2942.pgm,0,10,365,2205,5882,4931,2318,673,0
2943.pgm,0,63,570,5117,6550,1338,1953,793,0
2944.pgm,0,205,1766,2132,3498,2699,3892,2106,86
2945.pgm,0,163,1605,1999,4280,2814,2976,1727,820
2946.pgm,0,97,1926,1330,2072,3792,3511,3655,1
2947.pgm,0,84,2755,1500,1392,1949,3690,5010,4
2948.pgm,0,312,1799,1281,1915,2582,3073,5421,1
2949.pgm,0,253,2446,1976,1594,2225,3549,3581,760
295.pgm,0,178,1980,5442,4697,3807,275,5,0
2950.pgm,0,203,2830,1996,1091,1643,4188,4432,1
2951.pgm,0,158,2253,1812,1382,1909,5662,3208,0
2952.pgm,0,134,1988,1339,1115,1889,4171,5746,2
2953.pgm,0,515,2713,3041,1195,1326,4941,2653,0
2954.pgm,0,206,2211,1702,1302,1547,5199,4216,1
2955.pgm,0,53,706,2549,4900,6737,1429,10,0
2956.pgm,0,24,953,1931,4557,6239,2617,63,0
2957.pgm,0,1049,1545,3613,3197,1790,2377,2812,1
2958.pgm,0,1031,1351,3485,4395,3028,1412,1681,1
2959.pgm,0,83,1269,5836,5329,1440,1575,852,0
296.pgm,9,455,824,2728,2919,721,2942,5775,11
2960.pgm,1,130,981,3651,5282,2425,2966,938,10
2961.pgm,0,105,1552,4197,4956,1683,2878,1013,0
2962.pgm,1,308,1211,3080,4414,2758,1888,2723,1
2963.pgm,5,484,2274,6068,5131,1832,416,174,0
2964.pgm,61,2752,7578,4451,1307,221,14,0,0
2965.pgm,0,100,567,1510,2829,3927,5989,1462,0
2966.pgm,0,60,1632,2933,2292,3338,2690,3437,2
2967.pgm,0,195,2206,6414,4874,1120,26,27,1522
2968.pgm,0,50,2087,3888,2609,2569,4987,194,0
2969.pgm,0,591,5264,6034,3366,1104,25,0,0
297.pgm,0,2,68,154,453,2198,11370,2139,0
2970.pgm,0,357,3582,6355,4129,1868,91,2,0
2971.pgm,1,1085,6921,5834,2063,385,61,26,8
2972.pgm,0,704,3156,6533,4438,428,803,279,43
2973.pgm,2,527,2761,3565,2489,1264,2264,3393,119
2974.pgm,1,518,2904,3821,2535,1206,2430,2967,2
2975.pgm,1,753,6962,6925,1261,303,151,12,16
2976.pgm,2,576,2221,3615,3835,2400,2490,775,470
2977.pgm,2,1873,2017,2347,3020,2543,4111,471,0
2978.pgm,0,1771,2118,2289,3135,2715,3850,506,0
2979.pgm,0,1001,1476,1382,1896,2430,5287,2910,2
298.pgm,2,496,3862,4377,2956,2068,1470,1152,1
2980.pgm,1,1457,2142,3170,3156,3097,2475,886,0
2981.pgm,0,1307,2333,3430,3309,3257,2181,567,0
2982.pgm,6,918,2744,2285,1822,1487,5072,2049,1
2983.pgm,2,844,5313,3053,788,513,3302,2552,17
2984.pgm,2,1264,7196,4017,1182,609,1065,1034,15
2985.pgm,0,454,2211,3447,5355,3552,1340,25,0
2986.pgm,4,523,3999,3592,1065,366,3157,3573,105
2987.pgm,4,586,4394,3995,1338,357,2598,3079,33
2988.pgm,0,667,1907,3243,3594,1888,3487,1596,2
2989.pgm,10,959,6587,5919,2530,342,35,2,0
299.pgm,0,0,0,95,1133,3240,7237,4653,26
2990.pgm,1,447,3167,5576,3829,2772,591,1,0
2991.pgm,5,1746,6813,5127,2203,396,31,15,48
2992.pgm,3,598,5626,6579,2927,637,14,0,0
2993.pgm,1,796,6670,5215,2768,923,11,0,0
2994.pgm,2,936,4656,6283,4036,374,63,22,12
2995.pgm,0,318,2704,6882,5742,686,34,11,7
2996.pgm,5,1778,6516,5863,1480,118,98,122,404
2997.pgm,4,1260,6187,7335,1520,69,9,0,0
2998.pgm,18,425,1402,2096,2488,3450,4961,748,796
2999.pgm,0,95,1185,3884,8526,2366,293,35,0
3.pgm,0,370,906,2378,6719,3886,690,449,986
30.pgm,0,74,441,878,1573,2763,6376,4262,17
300.pgm,0,158,584,1319,3524,5332,941,1628,2898
3000.pgm,0,588,1726,3235,2890,1999,4159,1787,0
3001.pgm,0,256,1025,1895,2591,2710,4977,2930,0
3002.pgm,6,347,2187,3645,3218,3094,3123,638,126
3003.pgm,11,513,2986,3694,2563,1996,1754,1012,1855
3004.pgm,3,225,2157,4172,2725,2444,3437,923,298
3005.pgm,0,152,2607,3755,1981,1972,4480,1437,0
3006.pgm,0,97,375,991,1835,2946,6074,4066,0
3007.pgm,4,133,404,1383,4337,2327,5705,2091,0
3008.pgm,0,32,305,1724,4332,2892,4694,2405,0
3009.pgm,0,2,13,43,818,9635,5830,43,0
301.pgm,2,221,997,3298,4880,2584,2580,1199,623
3010.pgm,0,0,13,76,2882,11275,2131,7,0
3011.pgm,0,49,363,1319,3547,3518,4758,2830,0
3012.pgm,2,350,1600,3495,3264,1623,4601,1422,27
3013.pgm,9,785,2161,3107,3079,1618,1670,2912,1043
3014.pgm,8,555,2218,5490,3909,1390,2207,606,1
3015.pgm,10,482,2418,6013,3732,1161,2001,564,3
3016.pgm,2,268,2497,5322,2773,1052,3344,1126,0
3017.pgm,0,178,685,956,4035,8636,1886,8,0
3018.pgm,1,115,466,587,3381,8260,3531,43,0
3019.pgm,14,868,2293,3305,3427,2915,3072,483,7
302.pgm,0,11,173,1179,3169,5295,5285,1272,0
3020.pgm,0,113,297,448,1339,4945,6009,3228,5
3021.pgm,0,16,330,1784,5499,6673,1396,686,0
3022.pgm,0,22,461,1984,5306,5364,1689,1558,0
3023.pgm,0,1,855,5167,4929,4402,1025,5,0
3024.pgm,0,107,2724,6234,3801,2874,623,21,0
3025.pgm,0,9,1214,5131,4124,3829,2063,14,0
3026.pgm,0,0,231,3661,4914,4136,3383,59,0
3027.pgm,2,136,1392,2334,3644,4122,3611,1112,31
3028.pgm,0,362,6231,8042,1573,157,19,0,0
3029.pgm,19,1026,7297,4088,1645,1514,623,83,89
303.pgm,0,46,589,2125,4485,5356,3327,456,0
3030.pgm,0,84,881,4564,4918,3549,2360,28,0
3031.pgm,1,62,353,2065,4030,4349,5161,363,0
3032.pgm,0,16,148,560,2767,5218,7057,618,0
3033.pgm,0,11,140,1314,3194,4949,6374,402,0
3034.pgm,0,31,360,1961,2885,3828,6988,331,0
3035.pgm,1,333,1399,1957,3525,5347,3770,52,0
3036.pgm,11,732,1190,2411,4260,4873,2865,42,0
3037.pgm,5,478,2112,3697,3465,1461,4080,1086,0
3038.pgm,0,23,1900,7448,3923,1656,1219,215,0
3039.pgm,0,11,712,3588,3840,4016,3154,1059,4
304.pgm,0,312,3714,5211,3113,2990,757,287,0
3040.pgm,0,8,638,4079,4649,3919,2810,280,1
3041.pgm,0,47,1666,3880,2991,3580,3729,416,75
3042.pgm,0,138,1967,3623,3253,2887,3848,603,65
3043.pgm,0,212,2331,3816,4725,2656,2329,315,0
3044.pgm,1,1127,3191,5287,5614,1120,43,1,0
3045.pgm,0,364,2195,5067,6762,1851,138,7,0
3046.pgm,0,118,812,3810,4466,2302,1950,2925,1
3047.pgm,1,113,849,2810,4806,3028,1853,2921,3
3048.pgm,1,111,841,2091,2156,3095,6480,1474,135
3049.pgm,2,135,461,1144,1937,3921,6608,1373,803
305.pgm,7,152,556,4675,7564,2893,519,18,0
3050.pgm,5,170,656,2174,2540,3564,5805,1169,301
3051.pgm,5,238,1875,3261,2889,4307,2573,1236,0
3052.pgm,2,128,1086,2448,4574,5365,2019,762,0
3053.pgm,0,129,1896,4525,3262,2615,3462,495,0
3054.pgm,0,201,1910,2932,2623,3500,4338,880,0
3055.pgm,50,1003,3475,6696,4094,761,187,72,46
3056.pgm,0,187,1672,4549,4586,2341,2722,321,6
3057.pgm,1,351,1988,5066,3610,2032,2912,423,1
3058.pgm,0,65,868,2745,6405,4895,1251,155,0
3059.pgm,8,1438,2761,2999,6109,2711,298,60,0
306.pgm,0,88,1578,5704,6803,1864,325,22,0
3060.pgm,1,225,3384,5142,2833,1479,2598,722,0
3061.pgm,13,532,1666,2979,3349,3368,3855,621,1
3062.pgm,1,243,1427,3764,4308,2089,3639,780,133
3063.pgm,1,289,4498,7340,3292,886,78,0,0
3064.pgm,5,447,4446,7979,2599,721,176,9,2
3065.pgm,7,237,805,2616,4170,3691,4324,533,1
3066.pgm,4,179,748,2956,4512,3753,3727,504,1
3067.pgm,2,202,932,3089,4378,3610,3624,547,0
3068.pgm,0,284,1384,2842,3258,2978,4945,693,0
3069.pgm,0,184,973,2071,3617,2383,4305,2851,0
307.pgm,0,24,149,903,2541,3012,4721,2561,2473
3070.pgm,1,267,1283,2481,4335,2317,2742,2957,1
3071.pgm,0,113,1670,2853,2699,3072,4316,1661,0
3072.pgm,0,144,2039,3307,3075,3268,3435,1116,0
3073.pgm,2,261,1326,1799,2568,3931,5027,1466,4
3074.pgm,0,10,197,1006,3169,2595,4437,4970,0
3075.pgm,0,49,878,4936,5496,3632,1376,17,0
3076.pgm,0,0,1,107,1317,4725,9099,1135,0
3077.pgm,3,79,379,936,3363,7617,3865,141,1
3078.pgm,0,2,114,969,2239,4303,5788,2969,0
3079.pgm,0,55,381,1755,2295,2865,5275,3758,0
308.pgm,0,52,458,3727,4394,1277,1092,5351,33
3080.pgm,0,4,13,34,183,2292,11189,2669,0
3081.pgm,0,17,59,51,237,2302,10017,3701,0
3082.pgm,0,125,787,1413,1768,2830,6880,2259,322
3083.pgm,0,1,111,1071,2188,2946,7420,2647,0
3084.pgm,3,141,415,488,1385,1474,8829,3649,0
3085.pgm,0,14,100,736,2143,2811,7054,3526,0
3086.pgm,7,676,2770,3697,3491,2724,1624,764,631
3087.pgm,1,276,823,1399,1912,3637,5632,2704,0
3088.pgm,1,371,2175,3783,1978,1607,5295,1174,0
3089.pgm,10,533,2189,5312,5856,2041,409,34,0
309.pgm,0,40,399,1655,2207,3261,5878,2941,3
3090.pgm,10,378,1565,4466,6781,2472,702,10,0
3091.pgm,0,18,298,619,531,1880,10313,2725,0
3092.pgm,8,818,2243,2579,2595,2576,4986,578,1
3093.pgm,5,624,1979,2717,2420,2424,5588,627,0
3094.pgm,21,816,2073,2301,2622,2294,4045,1939,273
3095.pgm,29,1338,2508,2421,2690,2705,3622,924,147
3096.pgm,2,334,2660,4655,2825,1789,2995,1124,0
3097.pgm,2,662,4120,4900,2539,887,2635,639,0
3098.pgm,16,1078,3231,2193,1981,2905,3782,1102,96
3099.pgm,0,2,51,343,1602,4116,8941,1329,0
31.pgm,1,158,1032,3825,5041,2049,2606,1672,0
310.pgm,1,630,4079,6589,3001,1404,640,40,0
3100.pgm,0,221,1348,2672,2879,1554,6800,910,0
3101.pgm,3,615,1901,1976,1565,1543,7043,1675,63
3102.pgm,3,359,1451,1779,1442,1929,6248,3172,1
3103.pgm,7,683,2546,2274,1803,1511,6265,1295,0
3104.pgm,2,375,1196,1128,1203,1356,8352,2772,0
3105.pgm,5,930,2845,2074,1207,768,7409,1146,0
3106.pgm,0,117,1177,3080,5077,4283,2311,338,1
3107.pgm,0,91,910,1343,866,2204,7424,3546,0
3108.pgm,0,121,938,1701,1558,2088,6821,3157,0
3109.pgm,1,485,2541,1769,1179,2272,4473,3664,0
311.pgm,18,131,672,2109,3542,3616,3197,3093,6
3110.pgm,0,341,2545,1823,897,1390,5616,3772,0
3111.pgm,10,837,4366,4355,749,408,4998,661,0
3112.pgm,0,24,931,3038,1437,726,6364,3864,0
3113.pgm,0,82,681,2531,2903,1463,7650,1074,0
3114.pgm,4,232,1469,4307,3424,2023,4048,540,337
3115.pgm,1,780,4307,4768,1165,324,3420,1578,41
3116.pgm,1,388,2108,4134,1753,349,4944,2692,15
3117.pgm,0,468,4394,4696,997,306,4212,1311,0
3118.pgm,0,23,228,2377,3265,559,2680,7223,29
3119.pgm,0,40,144,2073,3535,623,2651,7314,4
312.pgm,0,340,3942,6822,3462,1252,508,58,0
3120.pgm,0,58,313,1336,4979,1401,2714,5579,4
3121.pgm,0,69,246,1199,5093,2396,3251,4125,5
3122.pgm,0,22,408,1718,2580,486,3125,7850,195
3123.pgm,0,98,386,974,4538,3801,3008,3575,4
3124.pgm,0,47,108,1740,3646,499,2557,7783,4
3125.pgm,3,208,1798,3927,2823,1566,4502,1557,0
3126.pgm,5,567,2084,4613,4708,1485,1795,1127,0
3127.pgm,1,223,1004,3060,4148,1501,3343,3103,1
3128.pgm,1,274,1257,3231,4282,1808,2683,2848,0
3129.pgm,0,22,577,2594,4391,2100,3823,2877,0
313.pgm,46,789,1299,2881,5588,4807,918,47,9
3130.pgm,0,34,250,2657,3025,479,3352,6577,10
3131.pgm,0,2,135,2587,3474,1321,4124,4741,0
3132.pgm,0,21,1847,5789,5659,2777,288,3,0
3133.pgm,0,0,621,4815,6164,4031,751,2,0
3134.pgm,0,4,80,677,2832,4861,7569,361,0
3135.pgm,1,67,564,1852,2408,1253,6397,3842,0
3136.pgm,0,202,1594,3131,2374,987,6027,2069,0
3137.pgm,0,152,1225,2936,1984,833,4758,4495,1
3138.pgm,1,123,1226,3222,2713,821,5562,2716,0
3139.pgm,5,1084,5291,3603,666,227,4852,656,0
314.pgm,32,654,1766,2357,4480,4751,2167,130,47
3140.pgm,0,277,1341,1846,4618,5040,1091,157,2014
3141.pgm,1,560,4275,3655,1057,294,3546,2996,0
3142.pgm,1,350,3728,3417,997,392,3419,4080,0
3143.pgm,1,476,2973,2321,2114,759,5106,2634,0
3144.pgm,0,486,3208,3540,603,127,6797,1623,0
3145.pgm,0,255,3279,4456,879,173,4381,2961,0
3146.pgm,0,249,2246,4072,994,244,5251,3328,0
3147.pgm,0,320,2226,3917,1902,301,5573,2145,0
3148.pgm,0,461,4658,6277,2500,971,1192,325,0
3149.pgm,0,520,5192,4617,1296,389,3565,805,0
315.pgm,0,0,39,157,339,1194,5872,8227,556
3150.pgm,2,308,2138,3777,2168,893,2729,4366,3
3151.pgm,1,281,1738,3723,1768,726,3442,4703,2
3152.pgm,0,169,2091,2213,1819,1158,4189,4744,1
3153.pgm,2,234,2397,3280,2687,966,5627,1191,0
3154.pgm,0,13,274,1591,5812,5873,2340,469,12
3155.pgm,3,311,2429,3330,2940,2261,3133,1977,0
3156.pgm,0,276,2623,3747,2152,1514,3246,2826,0
3157.pgm,0,12,379,780,938,4324,5637,4314,0
3158.pgm,0,691,5104,4651,909,194,3031,1804,0
3159.pgm,0,562,4285,5276,1221,317,3396,1327,0
316.pgm,0,1,57,1477,3500,2494,4982,3868,5
3160.pgm,1,391,3012,4875,2000,712,4600,793,0
3161.pgm,6,627,3294,5264,3872,783,1765,773,0
3162.pgm,0,446,2974,3071,2248,1081,5665,899,0
3163.pgm,1,271,2085,2556,1533,966,3560,5409,3
3164.pgm,0,162,2128,2540,1231,690,3982,5651,0
3165.pgm,0,52,487,1831,3524,527,5700,4262,1
3166.pgm,0,64,1161,3636,4212,390,4514,2407,0
3167.pgm,0,71,1029,3410,3330,247,5261,3035,1
3168.pgm,0,182,1299,2603,4541,1442,3088,3229,0
3169.pgm,0,233,2935,5163,3563,802,2859,829,0
317.pgm,0,31,958,4596,3186,1595,2003,1200,2815
3170.pgm,0,118,3056,6646,4664,1032,508,359,1
3171.pgm,0,355,1465,3071,4340,1470,4052,1631,0
3172.pgm,4,707,2445,3165,3838,624,4047,1554,0
3173.pgm,1,290,1912,1323,4166,1711,4195,2786,0
3174.pgm,0,709,3212,2475,2654,756,2756,3820,2
3175.pgm,2,628,3241,2501,2518,722,3038,3733,1
3176.pgm,0,370,2578,2089,2479,887,4102,3879,0
3177.pgm,0,507,2635,2139,2748,941,3435,3979,0
3178.pgm,0,94,933,2645,4546,1063,4544,2559,0
3179.pgm,3,695,3183,2873,2656,544,2544,3885,1
318.pgm,0,32,260,1016,4721,2649,789,1383,5534
3180.pgm,3,776,3267,2825,2084,416,2775,4236,2
3181.pgm,3,410,3011,3939,3545,537,2030,2908,1
3182.pgm,3,499,1923,2020,2389,1132,3832,4584,2
3183.pgm,0,75,300,1146,2037,539,6649,5638,0
3184.pgm,1,147,843,1203,2341,1213,6616,4020,0
3185.pgm,3,138,473,2759,5095,3979,3610,327,0
3186.pgm,4,93,463,4955,4547,3126,2801,395,0
3187.pgm,1,93,237,447,1054,3421,9117,2014,0
3188.pgm,0,28,468,3876,5680,4587,1736,9,0
3189.pgm,30,724,1006,3076,4213,1883,698,536,4218
319.pgm,0,50,278,572,1471,3412,9388,1213,0
3190.pgm,0,9,269,1523,2366,2150,5189,4876,2
3191.pgm,0,1,325,1704,2659,2371,4230,5092,2
3192.pgm,0,34,595,1713,5496,5653,2322,571,0
3193.pgm,0,36,697,3411,5465,4724,1922,129,0
3194.pgm,0,36,367,641,2998,8618,3060,663,1
3195.pgm,21,549,910,5010,4660,635,1148,2660,791
3196.pgm,0,86,260,2633,5855,1741,2385,3420,4
3197.pgm,0,36,1133,5216,6906,2883,207,3,0
3198.pgm,4,269,2032,6065,3714,339,1220,2393,348
3199.pgm,2,137,1555,6439,3187,660,1555,2849,0
32.pgm,0,111,596,1231,3593,6202,2884,1760,7
320.pgm,13,499,1459,3442,4725,3024,1999,1125,98
3200.pgm,0,91,392,2132,4761,2139,2367,4499,3
3201.pgm,5,246,1155,6134,5135,975,1075,1659,0
3202.pgm,4,310,952,3740,5204,1299,2170,2701,4
3203.pgm,0,25,1260,5725,6037,2914,419,4,0
3204.pgm,0,37,625,4050,5365,4268,1184,53,802
3205.pgm,0,39,1329,4328,2743,309,3568,4068,0
3206.pgm,40,615,1356,5357,4155,666,2829,1366,0
3207.pgm,8,102,1827,6839,2750,451,2971,1436,0
3208.pgm,18,533,1302,6397,4253,474,2191,1128,88
3209.pgm,7,464,1753,2662,3499,3773,2089,391,1746
321.pgm,4,238,679,1210,1821,3397,5021,3994,20
3210.pgm,1,448,1715,2585,3310,3127,1589,337,3272
3211.pgm,0,498,2183,2696,4738,2477,3141,651,0
3212.pgm,0,71,1191,2898,2136,2699,5790,1598,1
3213.pgm,7,610,3129,3155,2343,1782,2103,3251,4
3214.pgm,10,429,745,3559,3329,1608,4657,2047,0
3215.pgm,19,931,2693,4796,3908,1014,1526,1307,190
3216.pgm,92,1550,2250,2114,2542,3844,2312,232,1448
3217.pgm,4,274,1139,3041,3160,1667,2794,2288,2017
3218.pgm,11,695,2001,2342,3615,3971,3318,287,144
3219.pgm,14,799,2389,3171,3644,3210,2668,449,40
322.pgm,13,439,904,1647,2265,3768,2532,4793,23
3220.pgm,0,172,2064,4616,2385,1931,4363,853,0
3221.pgm,1,180,2685,4313,2045,2263,4018,879,0
3222.pgm,8,712,3434,3370,1497,1218,5024,1121,0
3223.pgm,0,414,1441,3529,3469,2985,3684,856,6
3224.pgm,2,437,1596,3857,3536,2927,3314,666,49
3225.pgm,8,656,3975,2743,1916,1926,3854,1277,29
3226.pgm,5,562,2030,3202,2248,2828,4127,1362,20
3227.pgm,1,446,1990,4198,2884,1941,3138,1760,26
3228.pgm,39,982,1486,2894,3698,2733,3329,1221,2
3229.pgm,4,343,1129,3240,3554,2447,3881,1783,3
323.pgm,48,749,1835,2564,1916,1660,4053,3557,2
3230.pgm,0,47,1581,1628,1460,2800,7148,1720,0
3231.pgm,18,963,3031,4759,2982,2081,2313,237,0
3232.pgm,33,1173,3165,4348,2748,1909,2538,464,6
3233.pgm,10,592,2126,3061,3580,3695,3011,307,2
3234.pgm,10,282,1114,5474,5874,2664,887,51,28
3235.pgm,42,1951,3942,2591,2072,1384,3240,1162,0
3236.pgm,4,384,1252,3261,4987,2639,3474,383,0
3237.pgm,1,471,2687,3724,3230,1587,4145,539,0
3238.pgm,0,34,551,3523,7349,4445,482,0,0
3239.pgm,0,0,122,2260,5724,2781,4596,901,0
324.pgm,0,13,256,1806,4656,5882,3174,573,24
3240.pgm,17,392,3102,3952,2767,3014,2424,715,1
3241.pgm,6,357,1400,1811,1976,2438,6042,2354,0
3242.pgm,46,1660,3422,2869,2775,2053,2642,917,0
3243.pgm,41,2071,5054,3006,1389,1151,2134,1538,0
3244.pgm,56,2258,5015,2698,1377,1042,1733,2153,52
3245.pgm,0,108,2475,5518,1392,96,4935,1860,0
3246.pgm,38,4690,9209,1787,439,191,30,0,0
3247.pgm,0,65,1245,6746,2332,171,4350,1475,0
3248.pgm,0,89,705,2592,5094,1726,4196,1982,0
3249.pgm,0,53,1339,4638,3212,459,4637,2046,0
325.pgm,0,117,1523,2171,2183,2174,3751,4455,10
3250.pgm,46,2724,5795,3521,1537,484,1664,613,0
3251.pgm,4,780,3300,4461,2096,583,3756,1404,0
3252.pgm,38,4155,8710,1962,406,192,740,181,0
3253.pgm,1,160,801,1230,1566,4106,7123,1397,0
3254.pgm,0,110,634,1176,1624,4178,7299,1362,1
3255.pgm,10,1373,7796,3168,454,321,653,1544,1065
3256.pgm,6,797,4894,5188,582,124,3611,1182,0
3257.pgm,1,436,3154,5412,989,140,5388,864,0
3258.pgm,0,132,1714,4305,3515,1195,3883,1640,0
3259.pgm,0,224,1654,3421,5129,4907,1027,22,0
326.pgm,1,97,345,215,422,2375,10250,2673,6
3260.pgm,21,968,4963,2524,438,381,6531,558,0
3261.pgm,12,1431,6533,5358,1129,129,1495,297,0
3262.pgm,1,762,3165,4026,1194,463,5011,1762,0
3263.pgm,0,166,2485,2564,2811,3188,4744,426,0
3264.pgm,1,391,4288,4410,2011,1262,2983,1038,0
3265.pgm,2,805,6183,4245,1042,633,2742,732,0
3266.pgm,18,1303,4951,1525,2006,2698,3111,772,0
3267.pgm,0,509,3882,3879,2104,1014,3647,1349,0
3268.pgm,0,203,3487,4826,2231,378,4805,454,0
3269.pgm,0,521,6020,5673,1696,282,1741,451,0
327.pgm,2,329,2779,6750,5810,694,20,0,0
3270.pgm,1,174,1769,3263,2197,1339,5246,2395,0
3271.pgm,8,706,5131,5129,2199,1908,1035,268,0
3272.pgm,40,1524,4475,3735,2176,1116,1604,139,1575
3273.pgm,39,845,1806,2377,3129,3723,3347,1112,6
3274.pgm,3,303,2133,3178,4472,4787,1335,172,1
3275.pgm,317,1462,1652,3652,4036,2209,1014,177,1865
3276.pgm,17,578,2680,6048,3784,1208,294,111,1664
3277.pgm,0,24,1538,5381,3732,2512,2602,297,298
3278.pgm,6,307,1682,3762,3947,3722,2376,276,306
3279.pgm,23,588,1726,2687,2608,2956,4779,1017,0
328.pgm,24,211,1247,2065,2526,2572,4028,3692,19
3280.pgm,77,1014,2031,2610,2763,2649,4043,1162,35
3281.pgm,1,36,779,2135,3362,2999,6728,344,0
3282.pgm,5,173,783,1538,2080,6258,5169,378,0
3283.pgm,5,178,779,1426,1889,6122,5611,374,0
3284.pgm,27,419,744,1104,1371,6353,6088,278,0
3285.pgm,0,196,1703,3873,2214,1090,2915,4100,293
3286.pgm,0,201,1945,3883,1692,905,4995,2762,1
3287.pgm,7,719,2076,2238,2579,4665,3584,516,0
3288.pgm,17,706,1988,2345,4122,3117,3241,847,1
3289.pgm,55,1969,6487,2642,1108,600,2143,1374,6
329.pgm,2,595,1951,2786,4639,3201,2669,494,47
3290.pgm,60,2270,6592,2707,1265,960,1775,745,10
3291.pgm,41,2650,6784,4087,1292,402,151,46,931
3292.pgm,9,493,1310,3501,3721,2026,4099,1159,66
3293.pgm,31,551,1181,3354,3686,2002,4328,1197,54
3294.pgm,5,698,1637,4281,3230,1395,3642,1290,206
3295.pgm,105,912,1539,2264,3274,1962,3297,866,2165
3296.pgm,95,1162,1744,3985,2132,1438,2284,235,3309
3297.pgm,186,1195,1262,2704,3864,1369,2948,590,2266
3298.pgm,234,971,1020,1338,3314,3537,3917,1970,83
3299.pgm,67,681,1428,2438,3257,3539,3439,790,745
33.pgm,3,1321,4147,2906,3323,1832,950,1899,3
330.pgm,4,420,2026,2819,2896,2840,2789,2569,21
3300.pgm,92,365,585,621,1330,3743,6308,2809,531
3301.pgm,94,1197,1372,3999,4178,2021,2803,720,0
3302.pgm,60,788,1235,3151,4323,2482,3553,792,0
3303.pgm,27,878,2391,7177,4273,795,405,437,1
3304.pgm,68,877,1360,2768,4387,2801,671,59,3393
3305.pgm,38,1317,2518,2329,3552,4203,712,35,1680
3306.pgm,0,80,569,432,250,2136,8093,1169,3655
3307.pgm,44,670,478,793,2779,6112,2108,286,3114
3308.pgm,615,2053,1434,2997,4467,2742,1439,266,371
3309.pgm,565,2180,1418,2840,3981,3035,1927,265,173
331.pgm,1,59,222,486,813,4787,8968,1047,1
3310.pgm,12,958,5093,5215,2480,1110,758,485,273
3311.pgm,32,1316,5228,5259,2332,974,1004,223,16
3312.pgm,0,2,89,317,450,2395,10985,2146,0
3313.pgm,0,0,23,226,461,1448,11421,2805,0
3314.pgm,108,556,1082,3483,4009,1718,2141,839,2448
3315.pgm,85,854,922,3511,4121,1936,1370,324,3261
3316.pgm,0,0,1,192,2925,3496,4359,5409,2
3317.pgm,5,373,3065,4486,2963,1523,2020,846,1103
3318.pgm,88,979,3157,4322,3582,1586,1123,728,819
3319.pgm,6,376,1701,2769,3138,4227,3715,157,295
332.pgm,0,13,328,1492,2269,3000,3637,5173,472
3320.pgm,6,525,2208,2847,3192,3199,3976,430,1
3321.pgm,0,223,1424,2203,3153,4472,4322,587,0
3322.pgm,7,367,1662,2556,3298,5261,3097,101,35
3323.pgm,12,569,1911,2417,3662,3583,3609,621,0
3324.pgm,2,509,2116,2135,3343,3757,3862,660,0
3325.pgm,0,82,205,1740,3104,2486,3370,5393,4
3326.pgm,5,155,820,2859,2329,1998,4107,4109,2
3327.pgm,31,477,1688,3330,5244,3349,2039,157,69
3328.pgm,62,1199,2768,5096,4264,1987,958,41,9
